번호,충전소명,구분,공급방식,주소,충전소 전화번호,용도,비고
46,전주 제1호 수소충전소,저장식,튜브트레일러,"전북 전주시 덕진구 송천동2가 1186-2,1190,1191",063-278-0109,상업용,
47,한국자동차연구원,저장식,튜브트레일러,광주 광산구 오선동 573,062-960-9242,연구용,
48,수소에너지네트워크㈜ 하이넷 동탄 수소충전소,저장식,튜브트레일러,경기 화성시 방교동 795,031-8043-7800,상업용,
49,아산 초사 수소충전소,저장식,튜브트레일러,충남 아산시 초사동 473,041-536-8870,상업용,
50,서산시 수소충전소,저장식,튜브트레일러,충남 서산시 음암면 상홍리 916 외3필지,041-666-7004,상업용,
51,(주)경동도시가스 덕하 수소충전소,저장식,튜브트레일러,울산 울주군 청량면 상남리 1036,052-911-5442,상업용,
52,(재)광주그린카진흥원 상무복합수소충전소,저장식,튜브트레일러,광주 서구 벽진동 628-1,062-950-2868,상업용,
53,㈜블루에너지,저장식,튜브트레일러,"경기도 평택시 장안동 241-1,240-10, 241-10",031-668-9999,상업용,
54,(주)투게더 수소충전소,저장식,배관공급,울산 남구 야음동 220-7,052-700-5859,상업용,
55,하이넷 인천공항T1 수소충전소,저장식,튜브트레일러,인천 중구 운서동 2848-6,070-5014-4748,상업용,
56,하이넷 평택 수소충전소,저장식,튜브트레일러,평택시 팽성읍 남산리 218-8 외3필지,031-656-3543,상업용,
57,중도가스(주)대전영업소,저장식,튜브트레일러,"대전 동구 대성동 206-1,179",042-282-2313,상업용,
58,신탄진 수소충전소,저장식,튜브트레일러,대전 대덕구 상서동 236-1 외 72필지,070-7780-2046,상업용,
59,삼보 수소충전소,저장식,튜브트레일러,충북 제천시 봉양읍 북부로 913,043-653-5987,상업용,
60,창원 죽곡 수소충전소,저장식,튜브트레일러,경남 창원시 진해구 죽곡동 산31-2,055-552-7716,상업용,
61,하이넷 춘천 수소충전소,저장식,튜브트레일러,강원도 춘천시 동내면 사암리 산121-1,070-7780-2047,상업용,
62,에어프로덕츠(주) 수소자동차 충전소,저장식,배관공급,울산 남구 처용로487번길 83,,상업용,
63,(주)삼한 수소충전소,저장식,튜브트레일러,충북 음성군 중원대로 792,043-878-5149,상업용,
64,현대자동차 울산공장 52라인 수소충전소,저장식,튜브트레일러,울산 북구 염포로 700,,상업용,
65,유니팩 이동식 수소충전소,이동식,배관공급(이동식),울산 울주군 두서면 활천산업로 136,,연구용,
66,에스아이에스 이동식 수소충전소,이동식,배관공급(이동식),울산 울주군 언양읍 반천산업로 108-105,,연구용,
67,하나티피에스 이동식 수소충전소,이동식,배관공급(이동식),울산 울주군 두서면 활천산업로 160,,연구용,
68,수원영통 복합충전소,저장식,튜브트레일러,경기 수원시 영통구 광교호수로 250,070-5014-4853,상업용,
69,안성시 수소충전소,저장식,튜브트레일러,경기 안성시 현수동 78,031-671-5800,상업용,
70,음성(통영) 수소충전소,저장식,튜브트레일러,충북 음성군 삼성면 중부고속도로51,043-878-5039,상업용,
71,(주)진주 수소충전소,저장식,튜브트레일러,경남 진주시 판문동 517-1번지 외2필지,055-741-1122,상업용,
72,안산 수소 E로움 충전소,저장식,배관공급,경기 안산시 단원구 초지동 672-2,031-492-7047,상업용,
73,괴산군 개미 수소충전소,저장식,튜브트레일러,충북 괴산군 괴산읍 대사리 314-2번지 외 3필지,043-832-6939,상업용,
74,하이넷 화성시청 수소충전소,저장식,튜브트레일러,경기 화성시 남양읍 시청로 159,070-4175-4420,상업용,
75,가로수 수소충전소,저장식,튜브트레일러,충북 청주시 흥덕구 석소동 37-13,043-231-5177,상업용,
76,김해 수소자동차 충전소,저장식,튜브트레일러,경남 김해시 김해대로 2596번길 53,070-4423-0860,상업용,
77,강원 춘천 수소충전소,저장식,튜브트레일러,강원도 춘천시 동내면 학곡리 848 외32필지,070-7780-2047,상업용,
78,화성종합경기타운 수소충전소,저장식,튜브트레일러,경기 화성시 향남읍 도이리 668,031-359-8475,상업용,
79,현대자동차㈜ 남양연구소 수소충전소,저장식,튜브트레일러,경기도 화성시 남양읍 장덕리 772-1외 24필지,,연구용,
80,2공단 수소충전소,저장식,튜브트레일러,전북 익산시 석암동 389-75,,상업용,
81,울산규제특구 수소선박 충전소,저장식,배관공급,울산광역시 남구 매암동 579-21,,연구용,
82,수소충전소 평화,저장식,튜브트레일러,경기 평택시 현덕면 기산리 135-38 외11필지,031-681-8114,상업용,
83,하이넷 용인 에버랜드 수소충전소,저장식,튜브트레일러,경기 용인시 처인구 포곡읍 유운리 392,,상업용,
84,하이넷 당진정미 수소충전소,저장식,튜브트레일러,충청남도 당진시 정미면 사관리 96-12,,상업용,
85,하이넷 인천공항T2 수소충전소,저장식,튜브트레일러,"인천광역시 중구 운서동 3231, 2833-6",,상업용,
86,(주)속초개인택시 가스충전소,저장식,튜브트레일러+개질(NG),"강원 속초시 장사동 395-4, 395-32",033-638-3003,상업용,
87,하이넷 아산 수소충전소,저장식,튜브트레일러,충남 아산시 인주면 대음리 197-5,,상업용,
88,입장휴게소(서울방향) 수소충전소,저장식,튜브트레일러,충남 천안시 서북구 입장면 가산리 361-7 외 14필지,,상업용,
89,망향휴게소(부산방향) 수소충전소,저장식,튜브트레일러,충남 천안시 서북구 성거읍 요방리 121 외4필지,,상업용,
90,천안시 수소충전소,저장식,튜브트레일러,충남 천안시 서북구 불당동 20 외 3필지,,상업용,
91,성주수소버스 충전소,저장식,튜브트레일러,"경남 창원시 성산구 성주동 175, 177-9번지",,상업용,
92,하이넷 문막 수소충전소,저장식,튜브트레일러,강원 원주시 문막읍 동화리 114,,상업용,
93,신대 수소버스 충전소,저장식,튜브트레일러,대전광역시 대덕구 신대동 4-1외 19필지,,상업용,
94,하이넷 대평 수소충전소,저장식,튜브트레일러,세종 대평동 576-5,,상업용,
95,양산시 수소충전소,저장식,튜브트레일러,경남 양산시 물금읍 증산리 95-3외 25필지,,상업용,
